"【改制後】縣市重要統計指標 依 指標, 期間 與 縣市"

" "," "," 總計"," 臺灣地區"," 新北市"," 臺北市"," 桃園市"," 臺中市"," 臺南市"," 高雄市"," 宜蘭縣"," 新竹縣"," 苗栗縣"," 彰化縣"," 南投縣"," 雲林縣"," 嘉義縣"," 屏東縣"," 臺東縣"," 花蓮縣"," 澎湖縣"," 基隆市"," 新竹市"," 嘉義市"," 金門縣"," 連江縣"
" ","2011",...,58.2,58.8,56.5,59.3,59.4,59.3,57.1,57.5,58.4,57.9,58.9,58.7,58.2,59.1,56.0,57.4,55.7,50.0,55.2,60.9,57.4,49.9,72.3
" ","2012",...,58.3,59.2,56.4,59.4,59.7,59.9,57.2,57.9,58.0,58.0,59.0,59.7,57.7,58.4,56.8,57.1,55.3,50.4,55.6,60.1,56.5,50.7,72.4
" ","2013",...,58.4,59.2,56.8,59.6,59.5,60.3,57.2,58.0,57.8,57.4,59.3,60.0,57.7,57.9,57.5,57.8,55.0,52.2,55.9,60.0,55.9,51.4,71.9
" ","2014",...,58.5,59.2,57.2,59.9,59.2,60.5,57.1,57.9,57.9,57.8,59.3,59.6,58.4,58.5,57.7,57.4,55.4,53.3,56.5,60.2,56.6,52.5,71.2
" 失業率"
" ","1998",...,2.7,2.8,2.6,2.1,2.6,3.3,3.2,3.4,2.3,2.1,1.8,2.5,2.3,2.5,2.8,3.3,2.8,1.7,4.0,2.5,2.5,...,...
" ","1999",...,2.9,3.0,2.9,2.0,3.1,3.8,3.8,3.5,1.8,2.2,1.7,3.1,2.2,2.8,2.2,2.8,3.7,1.2,4.2,2.7,3.0,...,...
" ","2000",...,3.0,3.0,2.7,2.0,3.4,3.6,3.9,3.6,1.7,2.7,1.7,3.8,2.6,2.8,2.2,3.1,3.9,1.6,4.2,2.7,3.0,...,1.8
" ","2001",...,4.6,4.9,3.9,4.3,4.9,4.8,5.0,5.0,3.8,4.5,4.0,4.9,4.1,4.0,4.5,4.3,5.1,3.5,5.1,4.3,4.6,...,1.3
" ","2002",...,5.2,5.5,4.6,5.1,5.4,5.0,5.5,5.4,4.4,4.9,5.2,5.3,4.7,5.2,4.9,4.9,5.5,4.0,5.5,5.3,5.2,4.2,1.6
" ","2003",...,5.0,5.2,4.6,4.7,5.3,4.9,5.2,5.2,4.2,4.8,4.7,5.3,5.0,5.1,4.9,4.9,5.3,4.5,5.2,5.2,5.1,3.3,1.3
