"【改制後】縣市重要統計指標 依 指標, 期間 與 縣市"

" "," "," 總計"," 臺灣地區"," 新北市"," 臺北市"," 桃園市"," 臺中市"," 臺南市"," 高雄市"," 宜蘭縣"," 新竹縣"," 苗栗縣"," 彰化縣"," 南投縣"," 雲林縣"," 嘉義縣"," 屏東縣"," 臺東縣"," 花蓮縣"," 澎湖縣"," 基隆市"," 新竹市"," 嘉義市"," 金門縣"," 連江縣"
" ","1998",57.91,57.91,39.23,74.04,56.35,59.18,52.67,47.39,57.12,78.40,67.10,67.14,68.73,57.50,68.23,45.10,75.66,52.76,86.39,61.67,45.76,50.48,57.23,-
" ","1999",65.58,65.57,40.42,83.60,62.30,67.44,62.04,54.74,69.94,89.68,79.46,82.64,76.88,65.82,87.90,52.32,85.24,62.34,91.90,73.53,56.45,57.47,77.86,13.33
" ","2000",59.21,59.20,34.54,78.14,56.47,61.27,56.45,48.89,64.28,71.73,77.42,79.06,71.35,58.77,77.36,49.21,81.29,66.65,91.03,72.48,46.32,43.78,70.57,60.87
" ","2001",55.25,55.23,34.43,72.00,51.51,52.68,51.40,45.81,63.62,65.15,68.79,72.29,63.40,53.49,69.88,48.86,79.89,57.36,83.68,68.64,54.72,48.14,76.50,47.25
" ","2002",59.16,59.15,39.86,73.57,55.89,58.93,52.38,53.56,70.66,68.51,72.53,72.31,68.47,60.83,71.92,56.85,76.58,59.77,87.20,73.01,63.86,45.02,74.24,50.77
" ","2003",58.81,58.79,41.05,67.04,57.39,58.44,55.68,55.86,71.38,76.29,75.02,71.45,70.93,54.03,68.60,55.67,75.60,60.02,85.22,75.36,59.72,57.56,73.69,46.00
" ","2004",60.09,60.06,40.64,74.40,59.06,56.43,49.35,61.28,68.70,63.14,79.84,76.27,69.97,60.70,66.00,55.31,74.39,69.45,84.62,78.64,63.12,65.32,83.28,52.87
" ","2005",62.45,62.43,45.19,81.92,59.02,56.71,52.47,63.01,71.20,55.55,81.67,78.17,64.93,64.25,67.60,52.67,77.67,72.04,84.71,89.81,65.94,66.09,79.15,66.67
" ","2006",66.76,66.75,53.15,84.57,63.35,61.08,57.01,65.38,68.65,62.46,87.28,86.04,71.52,62.74,71.13,56.97,83.79,73.96,84.31,89.47,68.34,71.68,77.16,56.52
" ","2007",74.62,74.63,68.53,82.18,77.34,69.75,62.41,72.41,78.57,65.45,86.96,91.77,77.11,68.92,76.31,67.65,94.59,79.52,88.38,92.78,72.34,76.88,73.31,20.75
" ","2008",77.30,77.30,76.58,79.21,83.72,75.23,64.91,70.76,78.62,71.10,84.97,97.09,75.56,70.33,78.87,69.52,85.77,81.47,90.96,91.56,80.22,74.50,75.38,36.54
" ","2009",80.72,80.72,83.66,75.57,84.87,82.29,73.18,71.47,79.62,79.42,86.30,95.05,81.82,75.89,81.59,77.88,90.20,82.42,97.78,89.82,87.80,76.88,86.41,40.48
" ","2010",79.72,79.70,83.09,71.82,87.42,78.33,73.78,68.05,80.96,87.56,83.76,96.24,79.27,78.59,84.13,81.66,89.02,79.35,97.08,92.49,88.88,81.80,90.52,69.81
" ","2011",79.49,79.48,80.24,71.28,88.10,77.18,69.90,69.97,86.32,85.64,84.16,97.50,78.56,83.75,83.87,83.75,93.52,80.41,96.60,93.14,90.54,82.71,88.95,84.44
" ","2012",83.98,83.96,83.07,82.24,88.66,80.53,77.45,73.55,90.13,86.89,85.52,96.05,78.27,87.68,90.19,86.86,98.47,85.62,94.64,92.34,95.09,84.92,92.87,85.25
" ","2013",86.57,86.56,89.54,84.64,87.51,80.37,77.57,82.38,84.58,83.91,81.42,94.96,77.81,84.87,90.45,87.51,95.25,90.05,90.52,91.75,89.54,82.81,90.78,74.14
" ","2014",86.03,86.02,90.71,82.34,89.01,80.03,75.74,83.77,82.55,86.12,79.11,88.18,78.20,87.33,91.02,85.67,93.08,86.60,86.54,95.68,95.40,77.68,90.53,92.26
" 犯罪人口率"
" ","1998",727.81,728.57,578.07,788.02,673.60,684.17,637.15,685.79,664.43,962.69,948.76,638.73,854.67,575.52,685.71,557.80,1160.38,966.31,961.07,1110.72,796.00,1216.27,511.06,-
" ","1999",815.96,816.38,578.89,969.54,678.52,717.73,725.26,806.82,763.57,1027.22,1012.45,765.06,925.76,562.05,784.48,653.24,1044.73,1036.66,949.15,1363.97,1002.50,1218.19,741.31,15.13
" ","2000",818.65,819.20,510.93,1037.30,694.76,592.16,694.42,812.65,894.01,946.10,1081.01,877.62,918.41,563.77,869.54,598.59,1016.81,1137.72,736.10,1149.65,814.08,1083.40,611.96,631.91
" ","2001",808.05,808.30,444.77,1076.84,767.94,600.11,726.72,689.36,826.87,754.84,1053.07,785.28,963.30,592.90,978.97,722.20,849.93,1114.65,1108.03,1069.81,908.14,1176.77,732.92,616.02
" ","2002",826.91,826.82,479.97,1028.57,666.79,757.76,665.84,885.26,913.86,745.51,858.39,762.46,961.68,678.97,866.62,784.01,1000.87,1057.43,1045.94,869.10,1038.17,1158.80,845.62,953.79
" ","2003",703.32,703.19,343.87,866.77,571.28,716.52,622.79,852.79,763.65,604.19,741.40,680.08,869.01,567.11,762.56,609.19,622.42,749.32,763.40,798.02,656.96,1230.51,810.57,295.98
" ","2004",781.46,781.11,373.97,937.33,596.28,827.36,584.39,937.47,855.47,643.26,866.13,918.65,949.01,629.00,688.54,721.30,706.93,979.30,868.19,1229.19,892.39,1285.71,959.83,407.38
" ","2005",912.57,913.25,482.97,1036.79,791.78,943.27,694.29,1126.49,1036.29,741.01,956.11,1168.81,982.54,732.87,727.35,718.60,790.29,1324.15,883.36,1313.16,1041.87,1320.93,733.37,568.41
" ","2006",1004.20,1005.64,759.88,1158.25,872.43,999.10,869.90,1141.53,935.56,802.80,1000.06,1132.03,1116.96,716.09,917.06,718.81,654.45,1318.22,881.30,1112.28,1077.35,1417.85,665.05,228.50
" ","2007",1160.08,1162.54,1115.41,1189.43,1094.76,1130.90,959.43,1294.65,1106.18,979.35,936.48,1184.61,1284.10,762.91,1021.73,874.54,703.13,1635.19,967.56,1254.50,1133.55,1547.01,579.61,111.49
" ","2008",1179.19,1181.63,1306.46,1190.89,1106.57,957.78,976.63,1263.37,1094.76,1112.01,1077.32,1200.02,1199.28,860.39,1036.29,1099.30,620.40,1722.13,877.77,1172.99,1137.49,1302.69,616.43,253.79
" ","2009",1135.14,1136.70,1358.98,1223.67,1055.20,737.21,899.37,1222.50,1020.02,1029.63,848.20,1084.94,1115.97,794.21,1043.37,1112.55,683.54,1718.35,994.10,1062.40,1154.04,1414.03,825.24,315.14
" ","2010",1163.91,1166.42,1348.03,1177.11,958.34,763.18,996.91,1335.52,1063.43,1094.45,870.75,1143.85,1098.63,871.40,1065.48,1359.34,538.03,1689.99,1432.21,1295.87,1221.14,1477.71,612.03,654.48
" ","2011",1122.54,1125.26,1310.17,1166.21,858.10,734.64,892.78,1320.31,1126.86,1090.57,913.29,1060.79,1051.94,886.94,1051.43,1178.34,651.90,1434.78,1134.61,1403.81,1316.26,1404.63,564.48,458.85
" ","2012",1126.14,1128.96,1288.58,1159.57,758.71,836.22,989.41,1273.55,1169.72,1143.01,1140.33,1044.68,1000.38,856.27,1056.86,1045.29,890.57,1398.75,950.00,1488.61,1307.50,1405.45,583.43,541.65
" ","2013",1093.65,1096.50,993.41,1299.61,767.12,827.58,1058.16,1114.00,1164.82,978.11,1261.94,1004.90,1010.20,1058.65,1077.57,1076.50,1600.63,1629.68,962.64,1442.42,1211.41,1380.95,597.89,400.43
" ","2014",1117.79,1120.15,824.21,1340.11,758.74,861.53,1113.95,1185.67,1197.73,1059.06,1251.54,1094.03,1008.20,1116.09,1186.13,1107.28,1574.04,1845.08,1275.24,1743.87,1460.60,1266.62,678.65,1078.19
" 竊盜案發生率"
" ","1998",1531.87,1534.94,1873.68,1450.55,1730.17,2124.18,1145.82,1832.24,857.73,916.56,1053.92,1302.78,938.51,801.12,518.07,1256.92,735.28,1040.75,374.24,1452.68,2778.08,2015.32,450.36,-
" ","1999",1237.39,1239.85,1522.38,1191.84,1430.34,1652.01,888.86,1587.11,765.72,750.57,837.40,850.90,722.63,595.49,377.88,1010.14,573.39,872.68,357.47,1238.60,2380.67,1566.20,328.82,136.21
" ","2000",1378.41,1381.16,1743.00,1214.99,1520.31,1975.22,953.97,1649.09,884.55,1002.43,1072.26,902.01,944.02,766.51,504.19,1040.07,507.79,788.37,215.12,1271.93,2789.44,2202.93,318.29,646.96
" ","2001",1513.19,1516.73,1655.27,1198.73,1851.08,2205.31,1235.79,1879.31,990.13,1181.47,1294.25,1021.90,1222.87,924.32,651.17,1223.37,483.34,1050.13,358.71,1336.94,2618.19,2322.46,241.90,436.34
" ","2002",1515.97,1519.56,1668.52,1149.58,1888.93,2157.79,1277.96,1902.92,923.96,1202.70,1210.80,991.11,1107.00,994.51,674.57,1228.61,711.04,1014.61,338.90,1360.91,2592.50,2601.60,262.32,658.57
" ","2003",1465.50,1468.99,1659.37,1195.48,1803.09,2042.85,1201.42,1736.48,891.53,1124.60,1198.93,991.18,1018.41,1053.06,695.94,1196.61,695.96,961.18,316.19,1317.10,2498.12,2311.81,325.23,295.98
" ","2004",1458.57,1462.32,1782.38,1123.17,1833.58,2065.34,1218.12,1517.13,819.17,1447.33,1121.49,1039.72,1042.26,1030.55,651.16,1201.57,658.51,1109.25,345.54,1275.59,2265.64,2121.00,272.64,330.31
" ","2005",1443.72,1447.77,1840.22,1011.41,2035.12,1958.80,1225.56,1598.12,928.05,1502.13,1059.98,939.99,1092.99,1008.23,633.00,939.67,670.96,1167.07,421.06,1150.16,1720.84,1786.21,264.25,203.00
" ","2006",1233.65,1237.30,1574.09,881.95,1620.90,1681.20,1174.96,1282.67,821.25,1222.33,860.23,791.38,986.04,923.51,597.51,873.40,646.87,1040.14,358.16,867.38,1403.02,1597.97,250.76,139.09
" ","2007",1052.00,1055.32,1216.08,768.30,1049.83,1435.87,1051.76,1204.70,724.57,1259.97,768.11,773.94,882.76,933.60,575.11,834.83,465.06,893.69,410.48,730.32,1397.60,1485.41,212.61,91.22
" ","2008",910.31,913.35,1085.36,727.12,861.76,1081.04,900.44,1161.38,631.72,1054.96,663.78,685.50,781.06,719.63,475.06,780.55,368.63,811.70,256.33,602.53,1048.72,1188.95,163.74,152.28
" ","2009",672.28,674.73,733.27,595.87,618.11,736.60,708.99,977.59,490.61,724.54,604.02,416.62,545.84,514.91,341.28,566.12,276.95,634.82,122.42,464.43,776.54,843.96,107.64,71.16
" ","2010",616.98,619.32,575.88,545.64,563.25,645.63,640.72,1049.86,412.31,572.71,538.34,450.12,526.05,433.62,341.90,562.25,282.40,692.00,186.40,416.85,676.24,638.90,98.34,171.17
" ","2011",503.72,505.72,489.80,411.86,477.47,504.44,565.70,897.95,315.16,483.19,438.66,284.03,453.83,294.02,298.00,427.84,213.52,526.91,167.98,374.05,514.01,500.81,84.47,119.70
" ","2012",430.87,432.59,453.71,362.95,459.80,396.31,468.79,691.03,248.46,452.56,378.51,248.57,388.11,230.39,280.12,381.67,178.64,438.08,174.49,340.78,441.36,501.89,92.17,130.74
" ","2013",353.38,354.78,334.19,300.46,378.82,349.43,423.81,455.41,288.32,437.56,364.05,229.59,396.37,229.49,251.19,293.33,244.31,416.09,129.49,330.56,448.95,450.85,103.50,76.68
" ","2014",326.15,327.46,308.47,268.82,347.17,326.15,397.77,381.19,295.02,393.03,390.40,232.74,309.44,264.80,269.45,283.03,257.29,374.35,178.08,323.27,409.78,419.75,103.85,89.17
" 竊盜案破獲率"
" ","1998",49.13,49.14,33.07,65.73,51.42,53.70,41.29,37.03,42.00,59.94,55.82,60.88,53.64,43.30,48.57,33.89,61.93,44.23,68.93,46.90,39.90,35.23,44.35,-
" ","1999",54.53,54.53,33.15,74.75,56.00,60.74,47.20,41.90,54.84,73.44,69.94,74.56,62.34,49.96,81.57,38.91,73.86,52.64,80.56,56.23,49.47,38.42,57.99,11.11
" ","2000",47.22,47.22,28.80,69.83,49.29,56.49,40.18,34.62,46.48,55.09,67.59,67.59,56.15,43.09,57.37,34.42,63.74,54.86,66.67,57.58,39.74,30.06,48.21,51.16
" ","2001",45.79,45.79,30.39,63.32,45.21,50.06,39.42,37.74,55.33,56.21,59.82,61.52,53.08,40.32,46.96,34.39,64.70,47.18,71.17,58.43,49.63,34.93,58.21,38.24
" ","2002",52.61,52.62,38.41,69.44,54.13,57.01,44.30,45.40,63.76,63.06,68.60,66.60,60.37,50.28,51.12,47.48,64.71,53.10,69.97,68.52,60.56,34.66,45.39,31.03
" ","2003",53.92,53.92,42.00,66.40,57.83,55.88,45.00,48.49,66.06,76.33,73.84,66.63,62.60,45.81,51.37,44.69,68.00,57.19,71.23,73.22,56.55,49.14,51.79,30.77
" ","2004",54.27,54.27,42.63,77.20,59.94,52.32,38.29,52.06,57.08,60.49,73.29,69.07,58.45,51.79,49.55,41.78,61.66,66.50,71.07,68.76,54.72,56.13,67.84,40.00
" ","2005",57.27,57.26,48.79,88.54,59.67,51.67,42.12,52.32,59.20,52.18,74.71,68.02,55.95,59.09,57.50,40.91,69.96,75.39,80.67,85.21,61.28,56.08,70.22,60.00
" ","2006",58.44,58.44,51.09,85.14,62.62,54.70,44.05,53.69,55.89,59.05,81.40,68.93,60.53,51.48,54.05,43.95,77.02,76.54,82.12,81.90,60.29,58.96,63.59,21.43
" ","2007",62.26,62.26,58.06,76.29,72.77,59.36,43.91,57.45,63.85,60.46,79.94,77.94,62.76,57.00,56.83,55.33,85.35,77.38,82.54,85.59,64.81,60.45,59.52,44.44
" ","2008",63.92,63.93,61.90,73.75,77.95,66.57,44.09,55.55,66.74,61.39,80.32,79.82,59.48,55.76,60.16,54.28,71.79,78.30,90.34,83.82,69.18,59.24,57.35,13.33
" ","2009",65.89,65.89,66.36,69.94,78.86,71.04,50.38,55.36,64.47,71.09,82.92,74.29,60.48,58.65,59.01,63.70,81.34,75.30,87.07,79.45,74.21,57.20,62.50,28.57
" ","2010",64.49,64.48,63.30,61.95,81.99,67.65,50.99,52.27,62.07,80.42,76.34,84.85,63.32,59.69,68.53,65.89,77.68,73.17,87.78,86.71,81.22,59.54,74.47,64.71
" ","2011",66.44,66.43,67.54,69.66,83.06,69.95,49.95,53.96,69.29,77.15,76.45,87.43,61.91,66.11,66.42,66.94,78.78,75.34,92.64,78.94,81.60,63.51,87.06,66.67
" ","2012",70.18,70.17,70.16,80.17,86.91,70.64,55.26,54.16,76.05,79.85,72.31,82.23,61.12,84.34,75.88,73.24,94.09,72.08,87.13,80.54,85.25,73.13,88.00,57.14
" ","2013",73.26,73.25,83.78,76.01,84.11,68.81,52.77,67.46,71.26,79.06,69.26,81.78,62.89,78.01,75.21,70.39,77.31,79.45,82.17,72.81,80.11,64.89,80.99,66.67
" ","2014",77.59,77.58,88.57,76.93,84.95,74.32,57.91,74.13,76.64,85.33,73.50,82.00,65.54,84.98,82.25,70.20,77.51,81.10,82.78,84.78,86.56,71.06,86.05,63.64
" 竊盜犯罪人口率"
" ","1998",167.27,167.45,112.50,150.50,187.48,152.31,156.21,156.18,152.32,217.02,265.31,145.27,182.69,150.98,127.58,147.78,364.66,348.69,223.66,225.61,194.90,221.73,115.53,-
" ","1999",184.81,184.97,127.74,167.35,200.70,169.53,166.07,172.60,193.20,264.58,309.02,155.19,217.27,159.04,154.20,174.11,365.65,327.40,220.76,249.70,276.52,246.14,138.14,-
" ","2000",171.60,171.50,136.24,153.90,177.75,141.29,151.87,147.96,215.87,254.38,339.08,150.22,224.95,140.44,150.05,147.86,306.62,291.55,147.89,224.40,226.18,263.13,195.14,300.91
" ","2001",179.84,179.85,130.81,138.63,211.75,137.36,170.60,151.12,240.39,222.80,345.07,173.75,254.58,169.75,179.09,192.19,312.29,359.66,181.55,272.78,218.68,262.83,176.91,166.84
" ","2002",181.28,181.46,143.14,130.18,210.09,173.07,149.64,172.95,218.73,189.33,291.42,178.32,233.22,176.81,155.98,198.73,344.27,313.06,171.08,287.83,244.38,233.25,112.17,181.67
" ","2003",154.18,154.17,111.83,118.88,182.59,150.13,116.58,154.83,196.90,174.35,241.60,156.12,239.26,151.82,154.43,149.73,246.92,271.29,174.34,218.45,156.23,232.93,171.79,45.53
" ","2004",154.68,154.80,105.14,100.88,172.13,153.44,101.59,161.17,190.37,171.82,274.09,187.00,233.96,164.49,148.97,160.09,234.26,371.27,182.55,233.50,177.18,209.28,132.34,22.02
" ","2005",173.23,173.31,122.66,120.56,200.14,166.78,125.53,194.00,257.83,182.24,296.09,192.36,217.56,162.17,139.91,114.65,242.85,483.31,183.40,276.25,210.64,192.61,161.82,60.90
" ","2006",174.94,175.04,143.37,106.62,182.67,183.08,139.42,174.55,211.49,194.74,329.31,186.86,217.09,154.74,178.95,145.10,217.73,506.79,171.48,236.98,184.61,225.71,166.26,9.93
" ","2007",183.50,183.74,155.58,108.49,174.93,182.80,142.15,191.31,249.78,210.27,257.29,219.98,240.43,193.79,183.68,183.95,225.29,499.27,212.84,251.72,174.86,250.07,130.35,40.54
" ","2008",184.21,184.51,161.14,111.31,192.16,167.31,136.31,187.28,231.41,211.59,295.74,210.33,229.19,175.80,197.62,224.86,173.57,552.91,182.02,204.52,193.68,236.99,120.40,20.30
" ","2009",154.19,154.63,146.33,105.08,162.34,144.95,114.82,150.11,178.86,184.19,248.63,135.45,162.44,126.38,157.96,207.98,170.13,389.51,84.42,180.88,188.01,247.60,56.06,20.33
" ","2010",162.28,162.65,141.91,104.05,170.57,154.31,115.06,176.72,184.36,167.99,263.11,171.85,165.32,144.12,179.47,223.90,132.56,365.42,162.59,198.07,193.73,244.58,82.65,90.62
" ","2011",156.41,156.69,150.89,121.83,146.04,137.14,114.27,172.39,171.61,212.87,227.61,153.47,158.01,128.28,164.82,196.08,138.14,318.22,142.21,184.54,178.36,218.78,97.39,119.70
" ","2012",159.25,159.54,160.93,137.37,156.40,136.24,125.53,164.66,157.79,215.62,240.15,138.31,142.47,131.41,171.70,182.59,108.68,273.50,139.80,193.37,177.02,274.90,106.92,74.71
" ","2013",143.36,143.77,115.91,135.79,157.63,123.94,117.61,146.01,157.03,200.67,204.51,129.13,140.73,139.13,173.48,149.76,160.06,276.50,100.38,175.52,157.22,237.23,74.41,34.08
" ","2014",147.73,148.04,100.74,130.90,137.77,156.19,124.22,182.52,154.16,187.06,204.29,134.42,126.99,163.61,170.59,140.57,187.85,253.26,130.59,188.50,171.53,254.73,97.41,64.85
" 暴力犯罪發生率"
" ","1998",58.97,59.10,52.64,63.15,58.43,58.03,70.40,81.04,41.62,48.02,36.78,37.55,59.13,27.85,32.64,43.74,95.84,79.48,16.61,76.95,81.07,100.40,11.75,-
" ","1999",51.62,51.73,47.51,52.98,48.11,48.63,63.82,77.99,30.95,40.62,37.15,32.14,36.88,25.82,35.09,41.99,63.09,54.75,16.81,66.47,85.77,64.37,13.62,-
" ","2000",46.46,46.53,45.97,34.15,43.81,46.62,41.37,87.42,40.42,41.21,34.66,30.04,34.45,25.91,24.36,34.79,55.16,45.68,14.57,55.84,65.17,59.48,20.84,-
" ","2001",64.13,64.27,57.37,37.80,61.11,88.03,51.59,125.68,39.74,36.79,44.45,49.15,56.68,31.61,29.32,59.33,47.35,54.33,23.11,78.78,74.69,75.63,16.25,-
" ","2002",66.31,66.45,62.28,43.82,72.28,75.60,52.69,118.70,55.27,39.38,41.73,54.67,61.12,44.54,33.58,69.07,48.30,49.91,37.90,82.56,91.74,67.18,20.71,-
" ","2003",57.47,57.59,54.28,41.68,67.83,65.50,50.47,91.66,45.72,38.38,37.98,53.56,47.52,40.05,26.90,62.43,39.85,36.97,33.57,76.05,53.30,65.49,13.34,34.15
" ","2004",56.10,56.27,59.56,43.74,59.86,84.91,51.17,78.39,29.39,37.78,31.03,37.44,49.87,30.33,21.28,64.41,33.94,38.84,31.51,53.79,47.02,58.16,1.59,11.01
" ","2005",62.92,63.11,67.21,31.34,79.55,105.31,55.65,90.75,27.06,41.27,40.69,49.84,39.61,34.96,22.96,64.50,42.98,44.80,19.53,50.25,53.24,64.20,8.91,-
" ","2006",53.57,53.74,50.59,32.66,74.11,77.73,46.06,83.86,33.19,39.78,26.43,36.64,35.99,26.54,22.86,64.07,34.95,41.58,17.37,38.60,51.18,70.58,8.18,-
" ","2007",41.60,41.74,50.12,25.89,43.73,50.36,41.64,63.60,28.89,37.21,23.75,26.24,29.75,27.51,19.00,50.70,18.74,32.53,16.29,33.80,35.02,35.93,7.59,-
" ","2008",35.29,35.38,40.99,24.79,34.93,37.55,32.17,60.36,19.75,34.23,25.70,21.54,27.59,22.08,19.45,39.56,28.36,27.75,9.69,28.74,31.08,23.77,15.65,10.15
" ","2009",29.31,29.35,32.15,22.71,31.90,24.49,28.33,55.74,16.69,29.38,12.12,15.85,19.95,16.45,18.24,39.49,19.81,26.38,12.66,19.30,18.61,24.47,20.18,10.17
" ","2010",22.95,23.03,24.91,20.13,24.32,16.31,24.81,39.64,13.23,27.93,8.91,14.12,16.27,13.88,15.22,31.43,18.57,25.01,2.07,21.75,16.69,18.31,7.32,10.07
" ","2011",18.07,18.11,21.53,16.47,15.59,12.87,19.62,29.99,8.48,19.41,11.04,9.35,15.44,9.08,14.43,23.59,16.56,15.69,9.27,21.46,13.65,13.24,9.94,-
" ","2012",14.87,14.90,21.13,14.31,10.54,11.81,17.51,14.73,13.08,11.33,10.48,10.45,22.24,7.72,11.94,13.70,6.60,16.37,17.35,26.15,17.99,12.53,10.14,-
" ","2013",10.82,10.83,10.46,12.91,8.39,7.43,14.29,9.93,14.61,9.10,7.79,8.86,17.54,6.20,12.04,6.90,11.08,17.93,5.02,22.87,17.81,10.70,6.84,25.56
" ","2014",9.78,9.80,8.56,13.88,5.75,5.75,16.67,8.17,15.48,6.74,7.77,9.43,15.51,7.93,11.57,4.35,2.23,17.98,2.97,16.85,17.66,9.97,5.64,16.21
" 暴力犯罪破獲率"
" ","1998",71.64,71.63,68.42,66.26,64.26,69.14,74.06,67.73,84.54,107.84,81.55,68.03,73.68,77.51,65.95,72.18,93.36,71.13,126.67,82.94,82.58,82.20,100.00,-
" ","1999",78.52,78.51,66.67,67.98,79.35,81.35,88.08,70.20,84.03,130.29,76.92,93.56,74.13,80.83,86.36,70.16,98.09,86.67,106.67,101.18,69.81,85.88,100.00,-
" ","2000",66.31,66.28,57.84,71.21,60.53,58.52,69.34,54.17,81.91,87.22,88.66,78.63,75.94,91.71,86.86,67.72,91.91,89.51,107.69,92.59,76.47,67.72,90.91,-
" ","2001",59.91,59.90,64.45,70.04,72.19,41.62,74.89,35.70,77.84,90.80,80.32,79.38,74.59,76.60,94.55,65.12,97.41,83.85,90.48,98.70,82.31,63.37,88.89,-
" ","2002",68.11,68.09,61.20,69.46,74.86,63.35,73.85,52.39,82.49,92.66,86.75,78.44,81.27,84.29,93.12,64.11,112.71,88.64,105.71,90.71,85.22,75.56,91.67,-
" ","2003",71.55,71.54,66.52,69.95,73.82,65.64,76.71,57.51,87.74,98.86,86.38,80.43,98.05,79.80,108.61,71.50,105.15,100.00,100.00,86.91,77.83,83.52,100.00,33.33
